SMOKE TEST REPORT
seed=12345, semanas=160
SMOKE: plantou 1 ha (custo 2,200.00)
[semana 153] Custos semanais: -R$ 200.00 (Terras: R$ 200.00, Maquinário: R$ 0.00)
SMOKE: colheu/vendeu 1 ha (receita 5,682.63)
[semana 154] Custos semanais: -R$ 200.00 (Terras: R$ 200.00, Maquinário: R$ 0.00) | Semana 154: 1 ha de plantações prontas para colher!
SMOKE: plantou 1 ha (custo 2,200.00)
SMOKE: colheu/vendeu 2 ha (receita 11,642.05)
[semana 155] Custos semanais: -R$ 200.00 (Terras: R$ 200.00, Maquinário: R$ 0.00) | Semana 155: 2 ha de plantações prontas para colher!
SMOKE: plantou 2 ha (custo 4,200.00)
[semana 156] Custos semanais: -R$ 200.00 (Terras: R$ 200.00, Maquinário: R$ 0.00) | Novas propriedades disponíveis na imobiliária!
[semana 157] Custos semanais: -R$ 200.00 (Terras: R$ 200.00, Maquinário: R$ 0.00) | DESASTRE: A seca extrema destruiu 1 ha de 'Milho' na fazenda 'Fazenda Inicial'!
[semana 157] ALERTAS: [{'tipo': 'warning', 'titulo': 'DESASTRE CLIMÁTICO', 'mensagem': "A seca extrema destruiu 1 ha de 'Milho' na fazenda 'Fazenda Inicial'!"}]
SMOKE: plantou 1 ha (custo 2,000.00)
SMOKE: colheu/vendeu 2 ha (receita 13,899.48)
[semana 158] Custos semanais: -R$ 200.00 (Terras: R$ 200.00, Maquinário: R$ 0.00) | Semana 158: 2 ha de plantações prontas para colher!
SMOKE: plantou 2 ha (custo 4,000.00)
[semana 159] Custos semanais: -R$ 200.00 (Terras: R$ 200.00, Maquinário: R$ 0.00)
[semana 160] Custos semanais: -R$ 200.00 (Terras: R$ 200.00, Maquinário: R$ 0.00)

--- FINAL STATE (resumo) ---
dia=1120, semana=160
dinheiro=556515.0358873175
clima=Chuva
fazendas=1
plantacoes_total=10
multiplicadores_exemplo={'Soja': 0.7583839775683543, 'Tomate': 0.42390723545919173, 'Milho': 0.7301156213054266}

OK: sem erros de invariantes.
